27 19 2.04
27 20 2.02
27 21 1.36
27 22 0.48
27 23 2.92
27 24 0.80
27 25 0.21
27 26 0.68
27 27 0.35
27 28 1.04
27 30 0.06
27 33 0.87
27 34 13.67
27 35 2.77
27 36 0.40
27 37 0.33
27 38 2.35
27 42 29.79
27 44 0.31
27 46 1.09
27 47 0.35
27 49 1.43
27 51 4.18
27 52 1.20
27 54 0.25
27 57 9.97
27 59 0.24
28 0 0.20
28 1 0.44
28 2 0.22
28 3 0.14
28 4 4.09
28 5 0.45
28 6 0.83
28 7 0.11
28 8 0.42
28 9 2.08
28 10 2.87
28 11 3.07
28 12 4.23
28 13 0.85
28 14 1.00
28 15 1.91
28 16 0.20
28 17 0.14
28 18 0.12
28 19 0.37
28 20 2.14
28 21 2.74
28 22 0.41
28 23 2.15
28 25 0.37
28 26 1.05
28 27 10.91
28 28 0.20
28 33 0.07
28 34 0.67
28 35 0.66
28 36 0.34
28 37 0.96
28 38 2.74
28 42 9.80
28 44 0.38
28 46 0.03
28 47 1.45
28 49 4.85
28 51 32.22
28 52 0.34
28 54 1.04
28 57 0.53
28 59 0.21
29 0 0.46
29 1 0.24
29 2 0.88
29 3 0.19
29 4 2.47
29 5 0.53
29 6 0.35
29 7 1.60
29 8 0.36
29 9 0.52
29 10 5.04
29 11 2.15
29 12 2.38
29 13 0.91
29 14 1.01
29 15 0.46
29 16 0.46
29 17 0.12
29 18 1.48
29 19 3.99
29 20 2.53
29 21 2.43
29 22 0.36
29 23 2.08
29 25 0.37
29 26 9.92
29 27 1.46
29 28 0.38
29 33 0.11
29 34 0.08
29 35 0.28
29 36 1.34
29 37 0.31
29 38 1.16
29 42 0.99
29 44 0.19
29 46 39.61
29 47 0.41
29 49 0.74
29 51 1.00
29 52 0.87
29 54 3.43
29 57 1.57
29 59 2.78
30 0 1.45
30 1 0.31
30 2 0.11
30 3 0.22
30 4 2.99
30 5 0.17
30 6 0.27
30 7 3.74
30 8 0.28
30 9 3.87
30 10 1.36
30 11 1.61
30 12 1.42
30 13 4.11
30 14 0.64
30 15 0.38
30 16 0.58
30 17 1.18
30 18 0.75
30 19 2.81
30 20 3.17
30 21 0.64
30 22 1.02
30 23 2.38
30 25 9.99
30 26 0.92
30 27 0.19
30 28 0.54
30 33 0.03
30 34 0.70
30 35 0.50
30 36 0.36
30 37 0.48
30 38 0.47
30 41 0.05
30 42 1.51
30 44 0.48
30 46 1.20
30 47 1.05
30 49 0.70
30 50 0.30
30 51 0.49
30 52 0.69
30 54 1.83
30 56 37.53
30 57 0.53
30 59 4.00
31 0 0.53
31 1 0.57
31 2 0.57
31 3 1.57
31 4 1.15
31 5 0.58
31 6 0.56
31 7 4.19
31 8 0.50
